Wall time,Step,Value
1725455411.1233597,1273,1374.415283203125
1725455446.4887412,1285,1175.216064453125
1725455472.017365,1294,1438.3402099609375
1725455488.4893107,1300,930.376220703125
1725455505.3834074,1306,1424.8701171875
1725455528.9273865,1314,1420.8116455078125
1725455537.1493814,1317,1660.7369384765625
1725455576.544709,1331,1651.2618408203125
1725455581.9350994,1333,1026.6055908203125
1725455590.2166708,1336,1250.0836181640625
1725455601.2727382,1340,1620.4666748046875
1725455604.2886746,1341,1678.6231689453125
1725455622.1265523,1347,1638.754150390625
1725455685.6204863,1362,1610.81689453125
1725455730.3142335,1371,1679.7086181640625
1725455782.6448672,1382,1326.9052734375
1725455864.3042698,1399,173.18707275390625
1725455893.6497316,1405,1602.9326171875
1725455908.5630596,1408,1573.8453369140625
1725455948.7979698,1416,1574.04150390625
1725456031.475109,1433,1337.97119140625
1725456036.1901336,1434,1216.3670654296875
1725456065.440085,1442,1534.0772705078125
1725456083.8212948,1449,1443.2852783203125
1725456089.3137872,1451,1564.7127685546875
1725456118.9032784,1461,1126.8675537109375
1725456135.8009777,1466,1706.274169921875
1725456167.6882207,1475,952.160400390625
1725456186.3489048,1478,1368.436279296875
1725456203.6316926,1481,1577.7987060546875
1725456301.4218853,1504,1560.6964111328125
1725456325.004656,1510,1753.8040771484375
1725456356.8713427,1518,1494.24658203125
1725456361.4954836,1519,1513.7994384765625
1725456479.7003396,1548,1359.890380859375
1725456492.0872345,1551,1584.640869140625
1725456522.3661225,1558,1355.0482177734375
1725456532.5478806,1560,952.1932373046875
1725456555.1009934,1568,1583.9395751953125
1725456582.5907211,1578,1565.086181640625
1725456610.2336485,1588,942.232177734375
1725456669.679188,1609,1700.8487548828125
1725456722.725914,1628,1571.57470703125
1725456740.0641856,1634,1545.64990234375
1725456768.297368,1644,1470.2222900390625
1725456784.2483904,1650,502.5260925292969
1725456794.9994507,1654,530.3394165039062
1725456808.1677876,1659,577.9654541015625
1725456824.667708,1665,609.2212524414062
1725456829.9154105,1667,628.932373046875
1725456845.7334104,1672,814.6990966796875
1725456848.4268467,1673,874.7313842773438
1725456859.2330322,1677,975.7203979492188
1725456867.361228,1680,986.859619140625
1725456870.257593,1681,890.1535034179688
1725456881.6303856,1685,1268.3043212890625
1725456941.0854852,1702,1716.294921875
1725456944.908553,1703,1276.6661376953125
1725456956.543481,1706,1613.067626953125
1725456964.342562,1708,1586.667724609375
1725457033.4281435,1724,1211.3031005859375
1725457075.4153438,1734,1541.7996826171875
1725457104.204934,1741,907.6939697265625
1725457111.4726431,1743,833.603515625
1725457134.5533233,1749,1631.815185546875
1725457164.8368697,1756,1539.30029296875
1725457201.2846906,1765,1225.1773681640625
1725457237.694583,1774,1520.246337890625
1725457258.040148,1779,1521.879638671875
1725457316.8210957,1793,799.1834716796875
1725457333.400621,1797,995.14306640625
1725457370.8889477,1806,1163.5125732421875
1725457415.7491949,1817,1250.697265625
1725457451.6313398,1826,1782.1185302734375
1725457460.4991543,1828,1633.76806640625
1725457468.5331004,1830,1549.9112548828125
1725457496.5580442,1837,1074.47119140625
1725457505.0613508,1839,1648.8126220703125
1725457512.9694073,1841,1492.7728271484375
1725457594.2076755,1861,1567.581298828125
1725457606.6528974,1864,1055.0286865234375
1725457610.4170706,1865,1034.785400390625
1725457618.8723862,1867,956.54736328125
1725457664.1751902,1878,1571.8870849609375
1725457684.744443,1883,1502.2628173828125
1725457737.186915,1896,1056.386962890625
1725457762.2297993,1902,1574.0081787109375
1725457778.0518718,1906,1580.1138916015625
1725457786.867015,1908,1545.23486328125
1725457790.697778,1909,1532.6470947265625
1725457828.2578435,1918,1596.4111328125
1725457860.072345,1926,767.1526489257812
1725457895.462498,1935,1534.14453125
1725457904.2243075,1937,1581.416015625
1725457908.076117,1938,1631.90673828125
1725457939.8747888,1946,1107.360595703125
1725458047.9109771,1971,1595.3358154296875
1725458127.899576,1991,879.7951049804688
1725458140.4779212,1994,1577.548095703125
1725458144.2568307,1995,1312.2147216796875
1725458185.7705238,2005,869.1421508789062
1725458197.1925347,2008,1582.365966796875
1725458273.5459266,2027,1709.087646484375
1725458277.5380244,2028,1577.0028076171875
1725458367.7700505,2050,1616.2158203125
1725458375.9241118,2052,1607.7822265625
1725458407.4694881,2060,1576.7086181640625
1725458447.9162943,2070,1654.4898681640625
1725458455.9441538,2072,1713.1204833984375
1725458522.0328481,2088,1610.60205078125
1725458560.4673057,2097,1532.253662109375
1725458564.057085,2098,631.8468017578125
1725458585.4016979,2103,1566.447021484375
1725458631.8658628,2111,1139.382080078125
1725458678.5844917,2118,1295.2750244140625
1725458690.441443,2120,982.5458374023438
1725458721.9825232,2127,1433.5054931640625
1725458731.2592096,2129,1284.1231689453125
1725458749.6754937,2135,984.039306640625
1725458805.0282419,2146,963.92138671875
1725458828.8661563,2148,961.6748657226562
1725458879.7532713,2158,868.73486328125
1725458885.740373,2160,1397.98974609375
1725458901.294462,2165,1015.5994262695312
1725458920.239562,2171,1676.3760986328125
1725458943.4537911,2177,961.2911987304688
1725458947.5593877,2178,1201.930908203125
1725458986.3906956,2187,1682.2099609375
1725459038.0305247,2205,864.2235107421875
1725459051.9830232,2209,665.9091796875
1725459129.0222437,2225,789.5042114257812
1725459165.9705918,2233,671.7127685546875
1725459200.7389958,2242,689.177490234375
1725459228.399188,2249,907.678466796875
1725459334.1624105,2276,1000.4464111328125
1725459447.0984514,2303,1123.12744140625
1725459450.9780474,2304,932.8381958007812
1725459474.249297,2310,821.6681518554688
1725459478.8195524,2311,1063.237548828125
1725459511.2894895,2319,1488.2904052734375
1725459572.2528548,2334,1266.9749755859375
1725459580.1643238,2336,895.26708984375
1725459601.5246093,2341,1476.0103759765625
1725459655.6625037,2354,976.6512451171875
1725459671.1036484,2358,1051.562255859375
1725459679.0668273,2360,684.7490844726562
1725459690.711934,2363,854.3689575195312
1725459727.7892513,2372,796.5691528320312
1725459731.535973,2373,896.283203125
1725459748.1155834,2377,958.5447998046875
1725459752.1074228,2378,1586.6361083984375
1725459788.4000611,2387,874.6126708984375
1725459810.5033267,2393,564.318603515625
1725459833.6832755,2399,776.0462036132812
1725459853.8778558,2403,961.6282348632812
1725459861.9823732,2405,802.2843627929688
1725459869.480246,2407,932.7876586914062
1725459914.182742,2418,1088.597900390625
1725459918.2376094,2419,1108.42041015625
1725459926.0778904,2421,1213.41015625
1725459945.8626068,2426,1187.93603515625
1725459962.072795,2430,1582.2056884765625
1725459997.5068603,2439,707.583251953125
1725460006.2765465,2441,812.3944702148438
1725460025.9146488,2446,984.7589111328125
1725460037.585081,2449,1513.7471923828125
1725460058.8044322,2454,1583.582763671875
1725460066.6890588,2456,783.6798706054688
1725460104.005726,2465,426.6778564453125
1725460183.7940645,2484,612.425537109375
1725460192.122676,2486,1458.02001953125
1725460210.8866642,2491,783.6557006835938
1725460221.6947389,2494,914.133056640625
1725460270.478384,2506,979.2249755859375
1725460286.094497,2510,837.6888427734375
1725460316.9294589,2518,1468.2381591796875
1725460328.8585098,2521,1515.3902587890625
1725460368.7966988,2530,1646.824462890625
1725460398.1646497,2538,1004.3077392578125
1725460415.9240737,2543,1453.0526123046875
1725460419.3193858,2544,1388.77734375
1725460470.7252855,2559,1129.7420654296875
1725460474.2929199,2560,1539.9853515625
1725460487.9903564,2564,1505.156982421875
1725460501.6309674,2568,1386.2738037109375
1725460537.3255599,2579,928.2298583984375
1725460558.662733,2585,1451.4884033203125
1725460592.3817377,2595,1432.45361328125
1725460602.5854602,2598,1409.0628662109375
1725460696.9565077,2618,948.6408081054688
1725460710.5439138,2623,627.3214721679688
1725460739.208168,2630,1041.2928466796875
1725460773.9213095,2638,1419.0003662109375
1725460834.2710042,2652,1387.8359375
1725460855.8080926,2657,1171.421142578125
1725460869.329178,2660,1376.37939453125
1725460877.4555175,2662,1443.2518310546875
1725460882.2463562,2663,1373.1097412109375
1725460933.987566,2675,1370.0157470703125
1725461012.5527632,2694,977.1353149414062
1725461053.2538772,2704,1669.9447021484375
1725461077.372627,2710,1487.2532958984375
1725461126.054776,2722,1432.97705078125
1725461138.3133426,2725,932.075927734375
1725461155.9895358,2729,1444.4403076171875
1725461185.404529,2736,1433.8492431640625
1725461214.5253975,2743,1418.3409423828125
1725461259.7116096,2754,1413.720947265625
1725461328.1873856,2774,1447.7684326171875
1725461355.266611,2782,1438.66796875
1725461358.5403981,2783,1279.0701904296875
1725461385.8972151,2791,1448.5703125
1725461392.8815534,2793,1473.5137939453125
1725461396.3275588,2794,1406.8740234375
1725461406.3635857,2797,1569.8966064453125
1725461433.5053673,2805,1523.337646484375
1725461437.0088737,2806,1450.5654296875
1725461457.0627098,2812,949.6978759765625
1725461502.7590177,2825,947.3666381835938
1725461535.7919252,2835,754.1536865234375
1725461601.7965934,2854,1460.122314453125
1725461629.1804001,2862,1434.975830078125
1725461635.6305249,2864,750.7550048828125
1725461649.3293746,2868,594.83251953125
1725461676.8575587,2876,1435.6484375
1725461711.2485173,2886,1452.7978515625
1725461745.393365,2896,1441.63671875
1725461755.3680458,2899,1457.09326171875
1725461797.182783,2911,1359.3092041015625
1725461841.2490559,2924,1447.318603515625
1725461844.5547745,2925,1457.041259765625
1725461871.7887821,2933,493.71990966796875
1725461891.266965,2939,694.3317260742188
1725461898.2471697,2941,879.5535278320312
1725461901.3762257,2942,944.0105590820312
1725461956.2498407,2958,1444.4334716796875
1725461989.7080278,2968,976.4653930664062
1725462002.9342725,2972,1269.77490234375
1725462020.0984082,2977,1489.6083984375
1725462043.3148706,2984,1486.490234375
1725462061.476775,2989,1470.697509765625
1725462102.1194224,3001,1668.7998046875
1725462122.1461349,3007,1484.6331787109375
1725462138.3912497,3012,1339.799560546875
1725462159.0150568,3018,1475.5128173828125
1725462173.0007439,3022,1481.6820068359375
1725462184.2899008,3025,1480.98876953125
1725462225.1881893,3037,925.2957763671875
1725462241.629426,3042,1479.260986328125
1725462248.203623,3044,1471.2586669921875
1725462267.8557324,3050,1455.6024169921875
1725462323.9090867,3067,1599.2933349609375
1725462334.2306225,3070,1480.944580078125
1725462368.5747697,3080,1474.934326171875
1725462419.3407931,3095,499.4283142089844
1725462422.7032828,3096,1488.9071044921875
1725462449.983642,3104,1481.5758056640625
1725462456.7227786,3106,1475.458984375
1725462459.907407,3107,966.2517700195312
1725462520.7817206,3125,1473.8671875
1725462534.201208,3129,1477.50537109375
1725462561.4475424,3137,1513.07470703125
1725462631.2613182,3158,1487.2130126953125
1725462634.5335693,3159,1212.98779296875
1725462644.4592826,3162,1494.7845458984375
1725462647.9072192,3163,1215.47998046875
1725462664.8501933,3168,1479.4088134765625
1725462695.1739907,3177,1471.5579833984375
1725462708.0486486,3181,1455.1683349609375
1725462734.855045,3189,1479.5499267578125
1725462757.9813023,3196,693.3775634765625
1725462814.871165,3213,1483.768310546875
1725462910.6780627,3242,1461.1475830078125
1725462953.8817885,3255,1464.570068359375
1725462970.8995733,3260,1471.158447265625
1725463030.022853,3278,1473.6136474609375
1725463033.3257325,3279,1476.913330078125
1725463040.2914405,3281,1468.31982421875
