#{"t_start": 1726154835.389858, "env_id": "CustomHopper-v0"}
r,l,t
319.623553,140,70.733568
325.214575,133,70.867352
307.481256,132,71.106978
333.835809,135,71.32114
329.048878,140,71.628625
288.931324,121,71.838073
328.720492,135,72.105011
257.175004,127,72.25877
308.766758,138,72.503042
332.616742,125,72.911284
320.967593,127,73.319726
300.766188,130,73.629721
295.238116,131,73.948117
338.320576,130,74.264457
296.789963,129,74.536893
159.044654,90,77.796198
186.920024,89,77.935505
386.509879,156,78.099301
105.583243,59,78.220811
327.2772,136,78.407721
333.707666,132,78.560694
348.518308,142,78.770583
368.479101,135,78.938529
320.876585,136,79.114071
229.056732,117,79.289436
313.672185,130,79.407189
147.888102,76,79.482437
369.480801,165,79.637299
410.060693,169,79.84489
275.652369,108,79.959801
313.201953,127,80.104232
303.431186,125,80.213149
344.320955,136,81.777378
225.925047,100,81.965979
331.178463,135,82.150029
381.380829,141,82.34835
311.110339,135,82.803315
322.837024,139,83.015402
342.6701,152,83.230149
293.217951,126,83.440239
407.161111,152,83.718229
115.963462,62,83.826469
325.058915,131,84.027091
330.620516,125,84.198208
233.219904,106,84.436926
408.451598,150,84.683068
276.363761,114,84.832651
307.291101,134,85.02738
305.55407,119,88.803643
372.973372,138,88.9483
357.249949,139,89.082003
332.285338,122,89.200553
167.316662,87,89.298798
389.303794,148,89.508175
508.668428,177,89.689709
338.68589,132,89.849511
311.35581,128,89.966032
299.483006,132,90.08706
298.188444,128,90.201164
316.353451,130,90.349608
300.089884,126,90.51108
269.923604,123,90.631734
373.485592,139,90.831181
401.993911,148,92.499505
240.629188,101,92.747014
391.778833,133,93.045883
378.003737,138,93.469785
241.889081,110,93.81708
104.751451,57,93.910307
312.452562,133,94.04807
352.360657,142,94.194904
331.433476,133,94.344588
368.651836,134,94.500992
338.337676,126,94.664559
309.60479,125,94.845089
261.104173,113,94.946029
335.967341,132,95.106198
313.42026,127,95.224618
302.744541,125,95.339158
400.283395,140,95.482819
380.108135,141,97.045409
325.567397,134,97.209309
451.335396,167,97.384643
360.195915,137,97.630294
354.617937,141,97.846267
336.272001,135,98.016946
481.873518,167,98.177028
447.56813,170,98.342354
343.91506,139,98.46771
136.845401,70,98.537518
337.559211,134,98.658955
369.803281,134,98.816181
399.623734,161,98.990139
351.323033,142,99.11027
337.94379,138,100.627017
351.200758,137,100.775512
409.36148,149,100.929643
360.156997,132,101.056789
338.466822,131,101.194983
296.037241,123,101.410995
297.532437,133,101.692308
315.190164,132,102.178526
179.499281,86,102.331767
355.810009,142,102.691601
347.093958,137,102.840889
336.601056,128,103.057666
352.661165,139,103.211204
322.013469,130,103.371155
298.261532,126,103.5114
515.941914,183,103.691395
322.51054,135,105.208729
355.016086,132,105.336738
326.668447,129,105.45438
556.240245,198,105.702628
576.702901,201,105.959894
369.914755,141,106.114703
356.209641,130,106.22853
329.256058,143,106.372309
298.33985,128,106.484049
405.208603,142,106.621752
344.291452,126,106.730798
517.465542,175,106.895879
330.277206,127,107.015174
299.900687,132,107.188001
360.382538,138,108.869244
570.612419,209,109.06354
319.49356,122,109.325496
387.845227,142,109.476347
313.436109,124,109.617728
386.029947,148,109.774248
320.988425,133,110.028682
369.921442,139,110.463225
475.984805,153,110.688985
509.608031,178,110.877579
392.566751,144,111.12227
286.138857,113,111.329678
301.761824,129,111.465422
508.232303,181,111.638325
347.489259,127,113.364844
325.094538,134,113.54665
325.435752,137,113.712619
348.203262,134,113.902262
401.423444,142,114.036756
338.241707,125,114.143734
398.003418,142,114.267972
500.614705,176,114.473089
305.656035,125,114.60101
521.604078,194,114.775895
424.866066,158,114.918575
351.495257,134,115.040041
364.320116,133,115.159697
372.247006,133,115.285109
409.236889,137,116.786739
430.42245,156,116.936683
449.06718,162,117.135198
418.38339,150,117.310713
325.216155,135,117.448592
280.150006,128,117.63975
380.600523,133,117.786197
202.964765,86,117.876979
532.755093,180,118.049567
370.496027,140,118.173342
273.764371,116,118.275857
273.638456,118,118.44104
365.556107,136,118.605415
327.66212,123,118.761998
319.085144,130,118.918043
368.649423,148,120.533577
99.21206,56,120.583862
379.186979,149,120.79074
254.862612,116,120.936539
358.490097,138,121.101127
186.455673,96,121.209135
354.848953,134,121.356762
367.092967,141,121.537872
378.371359,138,121.732518
376.41663,141,121.892699
98.29548,56,121.980125
470.843566,166,122.137447
591.4963,200,122.325024
104.686351,60,122.374679
427.352625,153,122.516738
361.82366,141,122.640372
171.035852,79,122.7218
359.951161,148,124.246715
518.937611,184,124.411841
287.355925,119,124.52156
347.339554,129,124.705406
444.778855,159,124.91938
422.684026,164,125.138174
349.581664,142,125.537093
394.299325,146,125.725044
125.212409,65,125.806479
315.987241,118,125.933513
564.357566,196,126.262526
336.194266,130,126.384728
405.702609,159,126.545714
468.573661,164,126.836358
350.686673,130,128.596165
495.041492,177,128.767842
317.355511,127,128.890844
462.19571,176,129.057122
495.685794,180,129.249289
247.76056,100,129.386801
282.89437,123,129.498624
481.449533,170,129.656139
459.801982,173,129.814481
311.57585,134,129.987401
299.595324,123,130.1105
343.55274,136,130.230443
458.278701,164,130.387126
313.73041,124,130.49762
332.772271,128,131.981577
607.914098,210,132.225614
319.16802,125,132.415649
526.210158,177,132.651522
470.408755,163,132.913154
548.290212,194,133.12867
557.924721,185,133.341997
381.447604,143,133.517052
430.455633,148,133.65152
305.142137,128,133.766395
404.637624,148,133.918103
399.92132,150,134.054461
298.627245,127,134.166182
377.913572,137,135.649491
662.697274,214,136.000009
475.861854,163,136.229834
563.811699,202,136.501529
378.96215,139,136.64929
505.720044,177,136.833801
368.337043,145,136.970254
444.285157,157,137.120474
559.343009,186,137.295502
598.198904,203,137.473577
515.11157,178,137.748749
858.692372,266,140.388062
489.123111,181,140.760585
568.260693,185,140.983976
429.056382,158,141.172129
601.111841,207,141.427901
468.928532,178,141.658593
67.990529,42,141.699098
577.698495,202,142.134627
439.929171,166,142.549946
403.921454,140,142.733356
492.406017,186,142.967728
726.800017,246,143.368339
334.097673,142,147.419395
294.964265,134,148.148174
499.808749,167,149.063121
611.440555,196,149.59777
578.981165,189,149.997945
370.79471,147,150.414109
544.01066,192,150.944193
666.276957,218,151.355421
327.435345,139,151.549107
585.004986,199,151.990595
449.197888,180,152.224306
652.605786,209,152.598532
663.19214,220,154.861915
426.431247,148,155.394221
566.698163,188,155.746839
749.562684,244,156.007897
330.785994,132,156.141699
615.449922,202,156.347665
398.751998,152,156.524293
462.872136,173,156.685252
376.951116,132,156.807474
461.927177,160,156.959632
1005.654044,334,157.44929
849.833506,280,159.165756
874.16173,291,159.424603
519.61748,173,159.585648
382.458209,151,159.725094
618.747059,199,159.978116
476.34038,177,160.209294
141.716464,71,160.295589
