Episode 92: Reward = [1351.181], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 93: Reward = [1425.3192], lambda_i = 5, phi = 0.42682949134399395, phi_i_L = 0.01, phi_i_H = 0.5125
Episode 94: Reward = [1301.5897], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 95: Reward = [1318.6416], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 96: Reward = [1399.6124], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 97: Reward = [1399.0197], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 98: Reward = [1366.8352], lambda_i = 5, phi = 0.42682949134399395, phi_i_L = 0.01, phi_i_H = 0.5125
Episode 99: Reward = [1392.0896], lambda_i = 2, phi = 6.080821704653479, phi_i_L = 5.0, phi_i_H = 6.50625
Episode 100: Reward = [1376.5392], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 101: Reward = [1318.7181], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 102: Reward = [1364.329], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 103: Reward = [1436.2826], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 104: Reward = [1551.9955], lambda_i = 5, phi = 0.42682949134399395, phi_i_L = 0.01, phi_i_H = 0.5125
Episode 105: Reward = [1416.3566], lambda_i = 5, phi = 0.42682949134399395, phi_i_L = 0.01, phi_i_H = 0.5125
Episode 106: Reward = [1387.1055], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 107: Reward = [1351.0592], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 108: Reward = [1285.0419], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 109: Reward = [1436.466], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 110: Reward = [1027.0574], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 111: Reward = [1429.4143], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 112: Reward = [1351.6975], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 113: Reward = [994.65314], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 114: Reward = [1106.166], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 115: Reward = [1399.9591], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 116: Reward = [1444.7102], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 117: Reward = [1268.142], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 118: Reward = [1456.1116], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 119: Reward = [1618.7505], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 120: Reward = [1436.8551], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 121: Reward = [1458.7229], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 122: Reward = [1430.4214], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 123: Reward = [1414.4283], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 124: Reward = [1459.938], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 125: Reward = [1422.2997], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 126: Reward = [1438.8534], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 127: Reward = [1485.883], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 128: Reward = [1139.5135], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
