Episode 100: Reward = [1147.9535], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 101: Reward = [1635.5411], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 102: Reward = [1408.7786], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 103: Reward = [1139.5652], lambda_i = 4, phi = 0.5, phi_i_L = 0.101, phi_i_H = 0.5
Episode 104: Reward = [1436.7875], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.5
Episode 105: Reward = [1310.4668], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 106: Reward = [1527.9656], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 107: Reward = [1660.1584], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 108: Reward = [1529.9054], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 109: Reward = [1661.2024], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 110: Reward = [1180.4476], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 111: Reward = [1673.4563], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 112: Reward = [1132.0774], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 113: Reward = [958.62585], lambda_i = 3, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 114: Reward = [1589.7126], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.5
Episode 115: Reward = [1676.7378], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.5
Episode 116: Reward = [1505.6354], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 117: Reward = [1522.4762], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 118: Reward = [1608.3702], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 119: Reward = [954.828], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 120: Reward = [1465.1096], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 121: Reward = [1518.222], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 122: Reward = [1702.3789], lambda_i = 4, phi = 0.5, phi_i_L = 0.101, phi_i_H = 0.5
Episode 123: Reward = [1168.7546], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 124: Reward = [910.2997], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 125: Reward = [807.9463], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 126: Reward = [755.94666], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 127: Reward = [951.1001], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 128: Reward = [811.84973], lambda_i = 3, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 129: Reward = [843.1604], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 130: Reward = [1156.5421], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 131: Reward = [1534.7651], lambda_i = 4, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 132: Reward = [1582.8118], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 133: Reward = [1536.1464], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
