Episode 85: Reward = [1321.6926], Entropy = -0.4024087907018894,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 86: Reward = [1273.1356], Entropy = -0.4024087907018894,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 87: Reward = [1179.007], Entropy = -0.4024087907018894,  lambda_i = 3, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 88: Reward = [1157.8397], Entropy = -0.4024087907018894,  lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 89: Reward = [1194.4552], Entropy = -0.4024087907018894,  lambda_i = 3, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 90: Reward = [1161.3503], Entropy = -0.4024087907018894,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 91: Reward = [1297.6361], Entropy = -0.4024087907018894,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 92: Reward = [1249.6802], Entropy = -0.4024087907018894,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 93: Reward = [1296.0802], Entropy = -0.4024087907018894,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 94: Reward = [1273.4878], Entropy = -0.42203929664461987,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 95: Reward = [1304.8505], Entropy = -0.42203929664461987,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 96: Reward = [1316.2078], Entropy = -0.42203929664461987,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 97: Reward = [1338.4241], Entropy = -0.42203929664461987,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 98: Reward = [1276.7411], Entropy = -0.42203929664461987,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 99: Reward = [1276.6243], Entropy = -0.42203929664461987,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 100: Reward = [1291.9806], Entropy = -0.45931340978822904,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 101: Reward = [1337.7296], Entropy = -0.45931340978822904,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 102: Reward = [1320.984], Entropy = -0.45931340978822904,  lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 103: Reward = [1518.7666], Entropy = -0.4965875229318382,  lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.4
Episode 104: Reward = [1535.6052], Entropy = -0.4965875229318382,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 105: Reward = [1496.521], Entropy = -0.4965875229318382,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 106: Reward = [1532.0731], Entropy = -0.4965875229318382,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 107: Reward = [712.0212], Entropy = -0.4965875229318382,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 108: Reward = [692.25104], Entropy = -0.4965875229318382,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 109: Reward = [1505.6333], Entropy = -0.4965875229318382,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 110: Reward = [1452.0721], Entropy = -0.5141476088748093,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.4
Episode 111: Reward = [1405.6725], Entropy = -0.5141476088748093,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 112: Reward = [1380.0946], Entropy = -0.5141476088748093,  lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.4
Episode 113: Reward = [1321.7041], Entropy = -0.5141476088748093,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 114: Reward = [688.1099], Entropy = -0.5141476088748093,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 115: Reward = [1300.9941], Entropy = -0.5141476088748093,  lambda_i = 5, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.5
Episode 116: Reward = [1381.5768], Entropy = -0.5141476088748093,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 117: Reward = [1396.178], Entropy = -0.5141476088748093,  lambda_i = 3, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 118: Reward = [1531.7588], Entropy = -0.5141476088748093,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 119: Reward = [1358.9784], Entropy = -0.5141476088748093,  lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.4
Episode 120: Reward = [1656.6012], Entropy = -0.5141476088748093,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 121: Reward = [1256.0333], Entropy = -0.5141476088748093,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.4
Episode 122: Reward = [1699.5215], Entropy = -0.5141476088748093,  lambda_i = 5, phi = 0.5, phi_i_L = 0.101, phi_i_H = 0.5
Episode 123: Reward = [1685.0759], Entropy = -0.562233916124672,  lambda_i = 5, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 124: Reward = [1129.3365], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 125: Reward = [1193.1366], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 126: Reward = [1470.5583], Entropy = -0.562233916124672,  lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.4
Episode 127: Reward = [1507.1512], Entropy = -0.562233916124672,  lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.4
Episode 128: Reward = [1444.6682], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 129: Reward = [1435.5093], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 130: Reward = [1385.66], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 131: Reward = [1458.3801], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 132: Reward = [1360.1058], Entropy = -0.562233916124672,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 133: Reward = [1364.675], Entropy = -0.562233916124672,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.4
Episode 134: Reward = [1319.5574], Entropy = -0.562233916124672,  lambda_i = 3, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 135: Reward = [1299.7434], Entropy = -0.562233916124672,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 136: Reward = [1595.3022], Entropy = -0.562233916124672,  lambda_i = 3, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 137: Reward = [1396.6697], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 138: Reward = [1453.2755], Entropy = -0.562233916124672,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 139: Reward = [1456.3534], Entropy = -0.562233916124672,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 140: Reward = [1563.5684], Entropy = -0.562233916124672,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 141: Reward = [1638.4924], Entropy = -0.562233916124672,  lambda_i = 3, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 142: Reward = [1640.2051], Entropy = -0.562233916124672,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 143: Reward = [1640.1306], Entropy = -0.562233916124672,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 144: Reward = [1657.5754], Entropy = -0.562233916124672,  lambda_i = 5, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 145: Reward = [1630.057], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 146: Reward = [1480.6624], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 147: Reward = [1501.767], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 148: Reward = [1458.8219], Entropy = -0.562233916124672,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 149: Reward = [1452.3807], Entropy = -0.562233916124672,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 150: Reward = [1454.6187], Entropy = -0.562233916124672,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 151: Reward = [1485.3771], Entropy = -0.562233916124672,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 152: Reward = [1477.1676], Entropy = -0.562233916124672,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 153: Reward = [1549.9478], Entropy = -0.562233916124672,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 154: Reward = [1528.5016], Entropy = -0.562233916124672,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.4
Episode 155: Reward = [1623.6047], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 156: Reward = [1543.9863], Entropy = -0.562233916124672,  lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.4
Episode 157: Reward = [1542.7615], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 158: Reward = [1546.863], Entropy = -0.562233916124672,  lambda_i = 5, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 159: Reward = [1576.453], Entropy = -0.562233916124672,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 160: Reward = [1606.5835], Entropy = -0.562233916124672,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 161: Reward = [1601.9207], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 162: Reward = [1634.2117], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 163: Reward = [1610.002], Entropy = -0.562233916124672,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.4
Episode 164: Reward = [1658.7261], Entropy = -0.562233916124672,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 165: Reward = [1654.2727], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 166: Reward = [1563.5615], Entropy = -0.562233916124672,  lambda_i = 5, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 167: Reward = [1473.305], Entropy = -0.562233916124672,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 168: Reward = [1579.6785], Entropy = -0.562233916124672,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 169: Reward = [1566.2546], Entropy = -0.562233916124672,  lambda_i = 5, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 170: Reward = [1499.113], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 171: Reward = [1534.7927], Entropy = -0.562233916124672,  lambda_i = 4, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 172: Reward = [1520.1841], Entropy = -0.5249598029810628,  lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.4
Episode 173: Reward = [1474.2279], Entropy = -0.5249598029810628,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.4
Episode 174: Reward = [1481.8947], Entropy = -0.5249598029810628,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 175: Reward = [1508.8188], Entropy = -0.5249598029810628,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 176: Reward = [707.9988], Entropy = -0.5249598029810628,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 177: Reward = [737.19836], Entropy = -0.5249598029810628,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 178: Reward = [1444.3983], Entropy = -0.5249598029810628,  lambda_i = 2, phi = 5.4, phi_i_L = 4.6, phi_i_H = 5.4
Episode 179: Reward = [1516.3578], Entropy = -0.5249598029810628,  lambda_i = 0, phi = 4.4, phi_i_L = 3.5, phi_i_H = 4.4
Episode 180: Reward = [1463.3346], Entropy = -0.5073997170380918,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
