#{"t_start": 1726155755.3063045, "env_id": "CustomHopper-v0"}
r,l,t
132.341853,67,33.526957
173.65261,83,33.631383
175.256248,95,33.739283
223.102018,100,33.851474
214.700026,96,33.966468
214.195036,93,34.081918
253.382059,133,34.244259
179.108048,92,34.365254
87.579357,49,34.431963
236.605422,105,34.553805
81.013575,48,34.603894
86.586452,49,34.652992
86.473846,49,34.708143
124.422906,67,34.77345
68.361811,41,34.822298
237.648669,104,36.792095
246.284978,111,36.966936
62.777455,43,37.028953
205.504726,99,37.177507
242.80956,117,37.346848
148.387381,79,37.438267
128.915374,70,37.535952
95.081099,53,37.610698
228.269908,108,37.740219
238.288995,104,37.852783
125.585267,70,37.929143
126.434652,76,38.058827
190.058852,107,38.200329
101.628743,58,38.267279
170.591642,82,38.368351
125.286918,67,38.437763
226.898747,107,38.57572
222.392426,105,38.714207
82.700543,50,38.762457
113.601491,60,38.838851
214.220503,94,38.951646
114.937239,64,39.028711
85.262356,49,39.081606
234.100467,104,39.209888
232.014084,107,39.314967
230.187128,103,41.358111
217.018434,99,41.485692
86.838465,49,41.546932
232.667757,108,41.691548
220.872469,103,41.818908
212.509322,94,41.923611
68.374866,43,42.011304
239.622849,108,42.139027
222.540669,97,42.261888
254.020955,124,42.407925
184.987779,87,42.504015
227.28196,98,42.611037
131.089176,72,42.694851
224.409791,116,42.835838
257.487323,116,42.96656
229.437237,109,43.218446
94.280021,56,43.477035
77.345286,47,43.690982
288.072364,151,43.941221
198.635123,98,44.162278
221.064474,100,44.272855
222.43737,103,44.392803
207.866735,92,46.648413
222.247416,99,46.786156
164.354448,82,46.89503
236.636691,113,47.054127
235.657791,110,47.194554
98.412827,54,47.249467
231.136109,104,47.363441
262.36981,113,47.498611
216.222836,95,47.603945
215.831924,95,47.715702
126.134997,68,47.789681
100.860364,57,47.842955
107.545163,60,47.905085
67.803261,41,47.946671
184.462938,96,48.044198
251.570138,123,48.17203
101.226994,60,48.245089
253.133438,106,48.359311
139.189287,71,48.44722
212.674538,98,48.567237
265.231792,117,48.686427
197.479331,95,48.806438
249.0542,115,48.931276
238.476846,105,50.931546
227.604401,103,51.077568
161.076766,80,51.184063
217.162332,99,51.302063
202.898754,98,51.425171
212.358462,93,51.527113
222.209376,104,51.64756
236.032882,107,51.774621
225.729554,103,51.913381
211.843386,97,52.096021
241.544087,107,52.211594
211.377794,93,52.316898
240.544025,109,52.452217
228.929278,105,52.572284
225.540087,103,52.691546
221.759729,101,52.801901
232.241103,99,52.935361
221.86959,99,53.038297
222.070778,100,53.209353
206.795666,96,53.440902
255.229377,110,55.706141
236.100206,102,56.051684
103.307113,56,56.250525
232.544934,106,56.585274
254.680911,110,56.905736
215.594235,99,57.264778
140.654434,72,57.432067
240.527428,109,57.756552
182.104391,83,57.974031
244.253842,118,58.27273
241.169112,106,58.403451
136.23271,69,58.48019
229.042778,102,58.604704
200.675397,120,58.74541
236.576903,104,58.849931
246.31789,105,58.975765
226.257471,101,59.087726
163.327116,78,59.165695
236.004803,106,59.287648
216.286735,94,59.39764
225.397195,100,59.512378
246.938652,111,61.625346
102.753707,57,61.710588
241.052254,104,61.82781
267.259066,115,61.962234
233.239335,100,62.08337
185.903123,84,62.224422
209.553438,100,62.343467
222.14359,98,62.477702
217.468436,103,62.593384
222.429653,101,62.706537
213.055534,95,62.821289
94.972941,56,62.881919
238.421691,103,62.988827
196.42886,91,63.135737
224.534117,96,63.239198
233.359326,113,63.36238
216.612868,98,63.46592
223.14668,99,63.584473
229.625237,98,63.702959
250.241949,110,63.812244
222.546641,100,63.923339
267.683778,115,66.023477
227.901485,105,66.18467
216.450443,99,66.298364
248.692816,110,66.421579
212.865806,93,66.527573
131.724886,69,66.620237
229.304967,107,66.761274
112.849971,60,66.839895
268.500423,119,66.968128
234.775504,101,67.079407
235.975928,102,67.223667
213.989314,100,67.358327
209.689707,93,67.45775
105.990092,59,67.54052
215.201279,96,67.652194
230.833379,104,67.774011
224.258663,106,67.875862
174.537448,83,67.968006
249.605375,110,68.091794
274.212015,118,68.213656
244.548571,110,68.345219
210.602809,105,70.310436
271.451421,132,70.4919
238.724901,107,70.626189
141.463017,70,70.707743
260.966143,112,70.825671
256.766413,110,70.956559
269.498449,116,71.101298
209.477815,95,71.199104
256.578576,112,71.421485
293.304158,130,71.610215
234.992048,112,71.745873
247.925134,122,71.890364
190.123692,86,71.979478
244.805561,104,72.098439
220.141118,96,72.243001
249.685211,108,72.358783
58.325595,35,72.401584
226.194796,105,72.523886
220.245384,106,72.660742
247.218476,109,72.784331
219.287002,97,74.853436
280.281859,116,74.988578
243.477575,107,75.110451
253.010763,109,75.254901
256.618516,115,75.391574
253.371839,104,75.494188
243.747196,111,75.624068
236.930531,113,75.763672
242.522668,117,75.883066
241.601019,110,76.000813
239.59596,105,76.133929
231.065316,104,76.249448
308.341811,135,76.40444
262.175543,118,76.526041
221.214507,98,76.638762
233.682335,111,76.755692
252.427031,109,76.877922
194.201486,86,77.014895
198.137582,89,77.125327
242.900388,114,79.176005
279.960858,115,79.319261
124.5874,66,79.394711
277.790228,124,79.530836
278.123037,122,79.673963
295.818294,127,79.861133
308.767908,127,80.005856
102.970755,60,80.073873
60.741613,37,80.108387
264.886227,113,80.239464
241.631758,109,80.359401
293.686658,123,80.503661
272.198479,117,80.63289
254.266471,123,80.780284
208.630001,98,80.904819
144.152096,72,80.98277
274.099849,118,81.13478
314.992587,128,81.27423
268.748784,123,81.419965
275.393526,115,83.55751
312.501498,126,83.708679
281.759124,128,83.862364
223.786974,105,83.984102
298.591725,124,84.130173
277.816985,123,84.254619
300.767325,125,84.391206
306.012265,129,84.539839
292.909243,120,84.661382
305.45265,142,84.840325
306.657714,132,84.975375
270.72652,129,85.134423
269.369326,121,85.315591
301.899023,123,85.450815
278.190211,121,85.591005
274.03003,131,85.736928
279.397274,117,87.932188
